COMMODITIES,Weight,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13
ALL COMMODITIES,100,97.5,98,98.3,99.2,100.6,100.5,100.7,101.5,100.5,101,101.1,101.4,102.7,102.5,102.9,104,104.1,104.9,105.4,105.5,104.9,105.4,105.6,105.7,107.8,108.7,109.9,110.8,111.5,112.2,112.7,112.6,112.2,112.4,112.6,112.8,114.5,114.7,114.8,115.7,116,116,116.3,116.8,116.7,117.5,119,121.5,123.5,124.1,127.3,128.6,128.9,128.5,128.7,126.9,124.5,124.4,123.3,123.5,125,125.9,126.8,128.2,129.6,130.3,131,132.9,133.4,135.2,135.2,136.3,138.6,139.1,139.8,141,141.1,142,142.9,143.8,146,148,148.1,149.5,152.1,152.4,153.1,154.2,154.9,156.2,157,157.4,157.3,158.7,159.3,161,163.5,163.9,164.7,165.8,167.3,168.8,168.5,168.8,168.8,170.3,170.9,170.1,171.3,171.4,173.2,175.5,179,180.7,180.7,181.5,179.2
I    PRIMARY ARTICLES,20.11815,97,98.5,99,101,103.5,102.2,102.9,103.7,98.6,97.7,97.5,98.1,99.1,98.9,101.1,104.6,105.2,105.8,107.5,108.2,105.3,106.1,105.5,104.3,106.7,108.4,111.3,112.5,114.5,115.6,117.5,117.6,117,116.2,117,117.6,120.8,121.2,121.1,124.2,125.2,125.3,124.7,125.6,123.2,121.2,124.8,128.9,132.1,134.2,138.3,141.1,139.2,138.3,140.8,141.4,137.5,137.2,134.4,135.8,140.8,143.3,146.5,149.3,152.9,153,155.3,161.6,162.2,164.9,163.6,165.9,171,172.6,176,177.8,177.3,180.8,183.4,185.3,192,195.3,189.6,188.2,196.8,194.9,195.9,198.2,199.4,202.9,203.5,201.8,198.9,200.7,203,207.8,215.6,215,215,219.1,221.8,221.6,219.4,221.1,219.9,223.6,224.4,223.1,226.5,227.3,233.9,240.3,251.9,252.7,251.4,256.3,243.6
(A)  FOOD ARTICLES,14.33709,97.5,98.5,98.8,100.7,103,101.1,102.4,105.2,99.4,97.7,97.6,97.9,100.4,100.3,102.3,106.5,106.2,106.7,109,109.9,105.5,106.7,106.1,105,106.4,108.3,111.8,112.2,114.9,118.1,119.8,119.9,117.8,118.9,119.2,118.9,121.5,122.3,121.8,124.8,126.1,125.5,126,125.2,121.6,119.9,122.5,125.6,128.9,130.2,130.3,133.4,134.4,135.8,140.3,141.1,136.3,137.2,134.1,135.6,140.1,141.8,145,150.4,153.7,154.7,157.8,164.7,164.6,164.9,163.4,163.6,168.8,172.1,175.4,178.2,176.7,179.9,180.9,181.4,189.4,192.4,181.3,179,186.8,186.3,188.8,192.8,193.7,197.2,199.3,196.5,190.9,191.1,192.4,197.1,207.2,206.1,209.4,212.4,211.8,213.1,212.7,213.8,211.2,214.7,215.4,214.1,219.8,223.1,230.9,238.5,252.4,252.9,251.7,256.4,240.1
a.  FOOD GRAINS(CEREALS+PULSES),4.08982,96.7,97.3,97.8,98.2,100.1,100.3,100.4,106.1,100.6,100.9,101.2,101.3,100.6,100.9,103,105.4,106,106.5,107.7,108.5,109.4,112.6,113.4,113.1,112.9,114.9,116.6,116.6,117.8,122.2,126.2,128.8,129.4,128.8,128.8,125.9,127.3,126.8,126.5,128.7,129.7,129.7,132.8,133,132.2,132.7,134.1,137,139.5,139,139.5,141.3,143.2,143.2,147.3,148.3,148.4,149.8,152,152.1,154.7,156.1,157.1,158.9,161.1,164.1,166.9,173.6,177.3,179,175.3,172.2,171.8,172.2,173.4,174.2,174.4,174,173.4,174.4,175.2,176.4,178.2,175.6,175.5,176.7,177,178.6,180.2,180.8,182.9,182.4,182.1,183.3,183.5,185.6,188.9,190.4,193.3,199.8,207.6,212,214.1,215.3,215.8,216.3,216,216.1,216.5,216.8,221.4,224.4,226.1,228.2,228.4,229.8,230.3
a1. CEREALS,3.37323,96,96.9,97.4,97.7,99.5,99.6,99.9,107.3,101,101.4,102.1,102.2,101,101.2,103,104.7,105.1,105.4,106.5,106.3,106.7,110.3,111.3,110.4,109.1,110.8,111.9,111.8,112.9,115.9,117.8,121.1,122.2,122.9,123,121.5,122.8,122.8,122.8,124.6,125.8,126.1,129.9,130.4,129.9,131.7,132.9,134.6,137.9,137.9,137.9,139,139.8,140,144.5,145.6,145.9,147.8,150.1,150.7,152.9,154.1,154.8,154.5,155.5,158.7,161.2,166.4,169.9,170.5,169.2,166.5,165.2,165,166.3,167.4,168.7,169.3,169,171.7,172.6,173.5,175,172.3,172.5,174.5,174.7,176.1,177.4,176.3,176.3,175.4,175.6,177.4,178.2,180.3,184.3,184.3,186.3,190.3,196.5,201.6,205,206.7,209.1,210.4,211.4,212.5,212.9,213.7,219.6,224,227.1,228.7,228.3,230.1,230.4
Rice,1.79348,96.9,97.8,98.7,98.9,99.7,100.3,101.1,100.7,100.8,101.2,102,102.1,102.5,102.5,104.3,105.7,106.7,107,107.6,106.6,105,104.9,105,105,105.6,106.4,107,107.3,107.8,108.9,111.7,112,111.9,113.3,113.9,114.5,115.7,116.2,116.6,117.8,119.3,120.6,126.1,125.4,124.8,127.3,128.8,130.9,132.6,132.7,132.6,133.9,134.9,135.7,145,146.3,146.3,147,149.3,151.1,150.9,151,151.8,151.4,153.1,157.6,160.2,162.6,164.5,164.7,164.1,163.3,163.5,163.5,164.3,165.9,164.4,166.6,168.7,170.3,171.1,170.6,170.4,167,167.3,169.7,169,169.9,172.9,173.3,176.3,175.4,173.1,172.2,173,175.4,177.3,178,181.6,186.8,190.8,195.1,202.7,202.2,202.7,202.8,203.7,206.2,207.6,210.9,218.7,226.3,231.5,231.4,232,232.5,230.3
Wheat,1.11595,94.8,95,95.6,95.4,98.4,98.8,99,121.7,101.1,100.8,101.1,100.8,95.8,96.1,98.1,100.3,100.6,101.3,103.5,104.7,107,116.7,119.4,116.7,111.6,114.4,116.3,115.9,119.1,125.6,127.4,134.9,137.1,135.8,134.8,128.6,130.1,128.8,127.9,131.6,133.1,133.1,135.5,137.7,137.1,137.6,139,139.9,146.7,146.4,145.6,147.1,147,146.6,144.8,145.9,147,150.7,152.3,150.7,155.7,158,158.4,157.5,156.5,159.1,163.3,174,180.8,182.1,179.4,172.8,168.9,168.1,168.8,167.8,172.5,171.6,168.2,172.7,173.3,175.2,177.1,173.1,169.2,167.4,168.7,170.8,168.9,166.9,165.3,164.3,166.6,169.2,170.1,172.1,179.3,178.7,180.1,181.8,190.8,198.4,198,202.5,204.3,206.2,207.2,205.4,203.6,200.8,205.2,206.6,208.7,212.9,213.6,217.1,220.5
Jowar,0.09572,93.4,99.1,98.6,99.9,104.6,98.6,99,100.4,103.4,102,101,100.3,99.5,106,112.7,115.6,109.8,105.8,108,105.4,106.6,113.7,115.6,115.7,120.5,126.5,130.1,126.6,115,118.8,119.8,121.5,126.1,129.1,130.9,130.6,131.9,142.6,151.8,149.5,148.8,147.8,149.1,149.6,152.3,151,150.3,151.2,153.4,154.7,154.6,151.3,152.4,151.8,151.1,147.8,147.3,148.1,155.1,146.7,151.9,160.8,165.6,168.9,172.9,169.4,168.5,167.7,172.3,173.6,176.8,174.8,172.3,177.1,183.5,183.2,186.7,184.8,187.3,187.4,192.1,200.9,213,206.2,218.5,237.4,256.8,261.3,261.7,256.9,248.7,246.1,247.9,259.4,250.8,237.1,236.8,240.8,235.3,230.8,236.5,234.9,234.6,225.8,232.3,233.9,237.3,250.7,253.2,251.6,246.9,245.7,241.2,241.6,241.5,247.1,252.7
Bajra,0.11522,96.2,96.5,94.5,98.5,99.5,98.1,98.9,99.9,101.8,103.7,105.1,107.6,109.4,109.7,107.2,108,109.7,110.6,108.7,108.7,111.4,113.4,113.5,115.4,117.6,121,118.9,119.1,121,121.4,118.7,125.5,126.1,127.5,125,127.7,132.3,132.7,129.3,128.6,130.3,124,123.3,127.7,127.2,127.3,125.8,127.7,128.9,128.8,131.2,133.4,138.5,138.5,140.4,141.9,141.9,143.6,148.6,154.1,161.7,165.5,160.2,159.9,165,166.8,163.4,171.7,177.9,177.8,173.7,173.2,172.4,171.9,176.3,178.1,182.6,177.8,170.3,171,174.6,177.2,176.5,178.3,188.6,198.4,189.2,193.3,194.9,194.2,184.5,184.1,187.2,200.1,199.9,204.1,209.5,210.5,209.7,223.7,235.5,235.6,221,232.3,252.2,256.5,257.5,257.7,263.7,267,265.4,261.9,252.2,252.4,251.7,251,252.5
Maize,0.21727,96,98.8,96.5,98.5,101.6,99.6,95.4,95,100.1,104.1,106.5,108.5,111.1,109.6,110.6,112.6,111.2,112,111.4,110.7,115.4,117.5,118.2,116.9,115.9,116.2,118.2,116.5,118.8,119,117.6,122,126.5,130.6,133.3,135.3,134.9,131.9,131.6,131.9,130.4,126.9,127.3,126.9,125.9,130,131.1,134,134.5,134.7,137.7,137.4,138.2,136.9,138.2,140.5,138.8,142.4,144.6,145.3,148.6,150.1,151.8,153,156.2,155.6,154.5,155.3,154.3,154.1,153.5,153.1,153.1,152.8,157.8,166.2,169.4,168.1,167.2,171.1,171.9,174.7,183.1,191.9,202.8,208.6,207.2,205.7,209.3,201.1,194.1,194.1,200.4,210.1,213.8,220.4,225.4,220.5,219.2,221.6,229.5,234.1,232.2,233.9,243.2,250.4,249.3,249.1,249.9,246.8,254.5,254.9,255.3,260.4,247.1,250.7,252.9
